	id	type	onset	offset	sentences
52		train	183	190	there were doors all round the hall, but they were all locked; and when alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.
53		train	191	198	suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and alice s first thought was that it might belong to one of the doors of the hall; but, alas!
54		train	198	201	either the locks were too large, or the key was too small, but at any rate it would not open any of them.
55		train	202	209	however, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high:  she tried the little golden key in the lock, and to her great delight it fitted!
56		train	210	216	alice opened the door and found that it led into a small passage, not much larger than a rat-hole:  she knelt down and looked along the passage into the loveliest garden you ever saw.
57		train	216	225	how she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway;  and even if my head would go through,  thought poor alice,  it would be of very little use without my shoulders.
58		train	226	226	oh, how i wish i could shut up like a telescope!
59		train	227	228	i think i could, if i only know how to begin. 
60		train	229	233	for, you see, so many out-of-the-way things had happened lately, that alice had begun to think that very few things indeed were really impossible.
61		train	234	247	there seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes:  this time she found a little bottle on it,  which certainly was not here before,  said alice,  and round the neck of the bottle was a paper label, with the words  drink me  beautifully printed on it in large letters.
62		train	247	250	it was all very well to say  drink me,  but the wise little alice was not going to do that in a hurry.
63		train	251	268	" no, i ll look first,  she said,  and see whether it s marked ""poison"" or not ; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they would not remember the simple rules their friends had taught them:  such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger very deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked  poison,  it is almost certain to disagree with you, sooner or later."
64		train	269	278	however, this bottle was not marked  poison,  so alice ventured to taste it, and finding it very nice, it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,  she very soon finished it off.
65		train	280	280	 what a curious feeling! 
66		train	281	282	said alice;  i must be shutting up like a telescope. 
67		test	282	287	and so it was indeed:  she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.
68		test	288	295	first, however, she waited for a few minutes to see if she was going to shrink any further:  she felt a little nervous about this;  for it might end, you know,  said alice to herself,  in my going out altogether, like a candle.
69		test	295	296	i wonder what i should be like then? 
70		test	296	300	and she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.
71		test	301	305	after a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor alice!
72		test	305	317	when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it:  she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.
73		test	318	319	 come, there s no use in crying like that! 
74		test	319	322	said alice to herself, rather sharply;  i advise you to leave off this minute! 
75		val	322	333	she generally gave herself very good advice, though she very seldom followed it , and sometimes she scolded herself so severely as to bring tears into her eyes; she once remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.
76		val	334	335	 but it s no use now,  thought poor alice,  to pretend to be two people!
77		val	336	337	why, there s hardly enough of me left to make one respectable person! 
78		val	338	344	soon her eye fell on a little glass box that was lying under the table:  she opened it, and found in it a very small cake, on which the words  eat me  were beautifully marked in currants.
79		val	345	351	 well, i ll eat it,  said alice,  and if it makes me grow larger, i can reach the key; and if it makes me grow smaller, i can creep under the door; so either way i ll get into the garden, and i do nt care which happens! 
80		val	352	354	she ate a little bit, and said anxiously to herself,  which way?
81		val	355	355	which way?
82		val	356	361	 , holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size:  to be sure, this generally happens when one eats cake
